Seq,Name
1,Afghanistan
2,Albania
3,Algeria
4,Angola
5,Argentina
6,Armenia
7,Australia
8,Austria
9,Azerbaijan
10,Bahamas
11,Bahrain
12,Bangladesh
13,Barbados
14,Belarus
15,Belgium
16,Belize
17,Benin
18,Bhutan
19,Bolivia
20,Bosnia and Herzegovina
21,Botswana
22,Brazil
23,Brunei Darussalam
24,Bulgaria
25,Burkina Faso
26,Burundi
27,Cabo Verde
28,Cambodia
29,Cameroon
30,Canada
31,Central African Republic
32,Chad
33,Chile
34,China
35,Colombia
36,Comoros
37,Congo
38,"Congo, Dem. Republic of the"
39,Costa Rica
40,Cote D'Ivoire
41,Croatia
42,Cuba
43,Cyprus
44,Czech Republic
45,Denmark
46,Djibouti
47,Dominican Republic
48,Ecuador
49,Egypt
50,El Salvador
51,Equatorial Guinea
52,Eritrea
53,Estonia
54,Eswatini
55,Ethiopia
56,Fiji
57,Finland
58,France
59,Gabon
60,Gambia
61,Georgia
62,Germany
63,Ghana
64,Greece
65,Grenada
66,Guatemala
67,Guinea
68,Guinea Bissau
69,Guyana
70,Haiti
71,Honduras
72,Hong Kong
73,Hungary
74,Iceland
75,India
76,Indonesia
77,Iran
78,Iraq
79,Ireland
80,Israel
81,Italy
82,Jamaica
83,Japan
84,Jordan
85,Kazakhstan
86,Kenya
87,Kiribati
88,"Korea, Dem. People's Republic"
89,"Korea, Republic of"
90,Kosovo
91,Kuwait
92,Kyrgyzstan
93,Lao People's Dem. Republic
94,Latvia
95,Lebanon
96,Lesotho
97,Liberia
98,Libya
99,Lithuania
100,Luxembourg
101,"Macedonia, North"
102,Madagascar
103,Malawi
104,Malaysia
105,Maldives
106,Mali
107,Malta
108,Mauritania
109,Mauritius
110,Mexico
111,Micronesia
112,"Moldova, Republic of"
113,Mongolia
114,Montenegro
115,Morocco
116,Mozambique
117,Myanmar
118,Namibia
119,Nepal
120,Netherlands
121,New Zealand
122,Nicaragua
123,Niger
124,Nigeria
125,Norway
126,Oman
127,Pakistan
128,Palestine
129,Panama
130,Papua New Guinea
131,Paraguay
132,Peru
133,Philippines
134,Poland
135,Portugal
136,Puerto Rico
137,Qatar
138,Romania
139,Russian Federation
140,Rwanda
141,Sahrawi Arab Dem Rep
142,Samoa
143,Sao Tome and Principe
144,Saudi Arabia
145,Senegal
146,Serbia
147,Seychelles
148,Sierra Leone
149,Singapore
150,Slovakia
151,Slovenia
152,Solomon Islands
153,Somalia
154,South Africa
155,Spain
156,Sri Lanka
157,St. Lucia
158,St. Vincent and the Grenadines
159,Sudan
160,Sudan South
161,Suriname
162,Sweden
163,Switzerland
164,Syrian Arab Republic
165,Taiwan
166,Tajikistan
167,Tanzania
168,Thailand
169,Timor-Leste
170,Togo
171,Tonga
172,Trinidad and Tobago
173,Tunisia
174,Turkey
175,Turkmenistan
176,Uganda
177,Ukraine
178,United Arab Emirates
179,United Kingdom
180,United States of America
181,Uruguay
182,Uzbekistan
183,Vanuatu
184,"Venezuela, Bolivarian Republic"
185,Viet Nam
186,Yemen
187,Zambia
188,Zimbabwe
